Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,recent_avg_deposits,Status,Assigned Branch
JPMorgan Chase Bank,0,Kew Gardens Hills Branch,156,11/15/1971,,71-41 Main Street,Flushing,Queens,NY,11367,40.72713,-73.8219,253851.0,277587.0,298261.0,323460.0,338008.0,358750.0,373343,356700.3333333333,CLOSED,44
JPMorgan Chase Bank,0,Restoration Plaza Branch,158,12/20/1971,,1380 Fulton Street,Brooklyn,Kings,NY,11216,40.68017,-73.94548,103719.0,108159.0,114156.0,121110.0,131026.0,147089.0,168128,148747.66666666666,CLOSED,154
JPMorgan Chase Bank,0,Water Street Branch,159,04/03/1972,,55 Water Street,New York City,New York,NY,10041,40.62724,-74.07584,1002240.0,965981.0,959075.0,976472.0,996233.0,992896.0,1069059,1019396.0,CLOSED,235
JPMorgan Chase Bank,0,Mineola Branch,163,11/10/1972,,32 Jericho Turnpike,Mineola,Nassau,NY,11501,40.75111,-73.63561,88738.0,93165.0,100406.0,115772.0,128278.0,135141.0,176190,146536.33333333334,CLOSED,168
JPMorgan Chase Bank,0,East Flushing Branch,165,06/08/1973,,196-03 Northern Boulevard,Flushing,Queens,NY,11358,40.75799,-73.7855,82032.0,90628.0,96660.0,106917.0,115674.0,121256.0,130731,122553.66666666667,CLOSED,159
JPMorgan Chase Bank,0,Knolls Crescent Branch,171,12/06/1974,,13b Knolls Crescent,Bronx,Bronx,NY,10463,40.87886,-73.91723,102620.0,104179.0,111486.0,116699.0,119020.0,120116.0,122159,120431.66666666667,CLOSED,62
JPMorgan Chase Bank,0,Sixth Avenue and 23rd St Branch,172,01/06/1975,,71 West 23rd Street,New York City,New York,NY,10010,40.74255,-73.99181,198983.0,217332.0,256321.0,283391.0,300821.0,326825.0,400764,342803.3333333333,CLOSED,202
JPMorgan Chase Bank,0,Amityville Driveup Branch,174,06/14/1954,01/18/1975,4 John St,Amityville,Suffolk,NY,11701,40.67894,-73.41969,93106.0,92272.0,96994.0,118907.0,115708.0,120730.0,125922,120786.66666666667,CLOSED,384
JPMorgan Chase Bank,0,Babylon Branch,176,03/07/1955,01/18/1975,31 West Main Street,Babylon,Suffolk,NY,11702,40.69642,-73.32368,261976.0,262704.0,261589.0,289395.0,281756.0,292377.0,314562,296231.6666666667,CLOSED,87
JPMorgan Chase Bank,0,Center Moriches Main St Branch,178,11/07/1955,01/18/1975,366 Main St,Center Moriches,Suffolk,NY,11934,40.80038,-72.79423,109615.0,108206.0,115658.0,116485.0,119196.0,124078.0,125948,123074.0,CLOSED,74
JPMorgan Chase Bank,0,Deer Park Grand Blvd Branch,184,01/21/1965,01/18/1975,615 Grand Boulevard,Deer Park,Suffolk,NY,11729,40.75895,-73.32,161904.0,163054.0,172441.0,186840.0,194550.0,211782.0,245797,217376.33333333334,CLOSED,75
JPMorgan Chase Bank,0,East Northportlarkfield Rd Branch,186,11/04/1950,01/18/1975,271 Larkfield Road,East Northport,Suffolk,NY,11731,40.87534,-73.32424,112628.0,113621.0,113899.0,121359.0,128286.0,129058.0,135773,131039.0,CLOSED,180
JPMorgan Chase Bank,0,Bar Harbour Branch,193,05/11/1957,01/18/1975,4970 Merrick Road,Massapequa Park,Nassau,NY,11762,40.66638,-73.45151,144089.0,140839.0,154233.0,182186.0,183189.0,191372.0,225002,199854.33333333334,CLOSED,381
JPMorgan Chase Bank,0,Melville Branch,197,12/15/1958,01/18/1975,115 Broad Hollow Road,Melville,Suffolk,NY,11747,40.78894,-73.41543,150161.0,175267.0,196333.0,211336.0,228141.0,238768.0,257023,241310.66666666666,CLOSED,56
JPMorgan Chase Bank,0,North Bellmore Branch,198,10/20/1956,01/18/1975,1542 Bellmore Avenue,North Bellmore,Nassau,NY,11710,40.68369,-73.53926,118453.0,120413.0,120700.0,129811.0,140842.0,145634.0,160506,148994.0,CLOSED,263
JPMorgan Chase Bank,0,Northport Main St Branch,200,12/23/1952,01/18/1975,54 Main Street,Northport,Suffolk,NY,11768,40.90022,-73.35111,114464.0,124469.0,123740.0,130417.0,146551.0,148851.0,161857,152419.66666666666,CLOSED,76
JPMorgan Chase Bank,0,Riverhead Shopping Center Branch,204,07/15/1957,01/18/1975,1450 Old Country Road,Riverhead,Suffolk,NY,11901,40.92665,-72.68985,18110.0,22493.0,30425.0,34501.0,37364.0,42626.0,51220,43736.666666666664,OPEN,81
JPMorgan Chase Bank,0,Seaford Branch,207,05/26/1958,01/18/1975,3875 Merrick Road,Seaford,Nassau,NY,11783,40.66589,-73.48901,166917.0,161700.0,165219.0,178338.0,177770.0,176259.0,196502,183510.33333333334,CLOSED,265
JPMorgan Chase Bank,0,Southampton Driveup Branch,209,03/18/1963,01/18/1975,66 Nugent St,Southampton,Suffolk,NY,11968,40.88602,-72.39175,181336.0,185736.0,205727.0,244476.0,286428.0,354528.0,377210,339388.6666666667,CLOSED,83
JPMorgan Chase Bank,0,South Huntington Branch,211,07/14/1962,01/18/1975,55 W Jericho Tpke,Huntington Station,Suffolk,NY,11746,40.82849,-73.41184,170273.0,166491.0,188734.0,194858.0,203226.0,212423.0,221615,212421.33333333334,CLOSED,93
JPMorgan Chase Bank,0,North Massapequa Branch,212,10/26/1957,01/18/1975,1090 Hicksville Road,North Massapequa,Nassau,NY,11758,40.69588,-73.48077,231524.0,241475.0,258925.0,266756.0,260254.0,277246.0,295880,277793.3333333333,CLOSED,265
JPMorgan Chase Bank,0,Wantagh Branch,213,10/04/1952,01/18/1975,1201 Wantagh Avenue,Wantagh,Nassau,NY,11793,40.69326,-73.50773,231604.0,229646.0,234722.0,248764.0,249229.0,261668.0,290658,267185.0,CLOSED,79
JPMorgan Chase Bank,0,West Babylon Branch,214,08/08/1963,01/18/1975,595 Sunrise Highway,West Babylon,Suffolk,NY,11704,40.71363,-73.34911,129530.0,133026.0,139176.0,145220.0,145100.0,148631.0,218498,170743.0,CLOSED,384
